ProcessDescription;TaskVerb;TaskGrammaticalObject;DataItem;Resource;Concatenation;GDPR-criticality
"The business process for conducting a course at a university begins with the students. Students attend the respective course and sign a participant list during the course, which serves as proof of attendance. This participant list is then made available to the lecturer for further processing. The lecturer first checks whether registration is required for the course in question. If registration is not required, this step is skipped and the process continues. If registration is required, the lecturer checks the registration list to determine whether the person in question is properly registered.
If the student is not properly registered, the lecturer denies participation in the course. In this case, the process ends with the result that participation has been denied. If the student is properly registered, the lecturer registers their participation. The lecturer then creates an attendance list documenting the students who are actually present. After this, the lecturer conducts the course as usual.
If coursework is required for the course, students complete this coursework, for example in the form of tests, presentations, or other forms of assessment. This step is not necessary if no coursework is required. The coursework submitted by the student is received and secured by the lecturer to ensure proper documentation and subsequent traceability.
After completing the course, the lecturer creates a certificate of attendance based on attendance and performance data and sends it to the students. The students receive the certificate of attendance. The students then evaluate the course, either on paper or online. The lecturer assesses the results of the evaluation. There is the option of delegating the creation of the questionnaires and the evaluation of the results to a central office at the university. Once the evaluation has been completed, the business process ends with the result that the course has been conducted.";sends;certificate of attendance;certificate of attendance;lecturer;"lecturer sends certificate of attendance using certificate of attendance in the context of: The business process for conducting a course at a university begins with the students. Students attend the respective course and sign a participant list during the course, which serves as proof of attendance. This participant list is then made available to the lecturer for further processing. The lecturer first checks whether registration is required for the course in question. If registration is not required, this step is skipped and the process continues. If registration is required, the lecturer checks the registration list to determine whether the person in question is properly registered.
If the student is not properly registered, the lecturer denies participation in the course. In this case, the process ends with the result that participation has been denied. If the student is properly registered, the lecturer registers their participation. The lecturer then creates an attendance list documenting the students who are actually present. After this, the lecturer conducts the course as usual.
If coursework is required for the course, students complete this coursework, for example in the form of tests, presentations, or other forms of assessment. This step is not necessary if no coursework is required. The coursework submitted by the student is received and secured by the lecturer to ensure proper documentation and subsequent traceability.
After completing the course, the lecturer creates a certificate of attendance based on attendance and performance data and sends it to the students. The students receive the certificate of attendance. The students then evaluate the course, either on paper or online. The lecturer assesses the results of the evaluation. There is the option of delegating the creation of the questionnaires and the evaluation of the results to a central office at the university. Once the evaluation has been completed, the business process ends with the result that the course has been conducted.";1
"The business process for conducting a course at a university begins with the students. Students attend the respective course and sign a participant list during the course, which serves as proof of attendance. This participant list is then made available to the lecturer for further processing. The lecturer first checks whether registration is required for the course in question. If registration is not required, this step is skipped and the process continues. If registration is required, the lecturer checks the registration list to determine whether the person in question is properly registered.
If the student is not properly registered, the lecturer denies participation in the course. In this case, the process ends with the result that participation has been denied. If the student is properly registered, the lecturer registers their participation. The lecturer then creates an attendance list documenting the students who are actually present. After this, the lecturer conducts the course as usual.
If coursework is required for the course, students complete this coursework, for example in the form of tests, presentations, or other forms of assessment. This step is not necessary if no coursework is required. The coursework submitted by the student is received and secured by the lecturer to ensure proper documentation and subsequent traceability.
After completing the course, the lecturer creates a certificate of attendance based on attendance and performance data and sends it to the students. The students receive the certificate of attendance. The students then evaluate the course, either on paper or online. The lecturer assesses the results of the evaluation. There is the option of delegating the creation of the questionnaires and the evaluation of the results to a central office at the university. Once the evaluation has been completed, the business process ends with the result that the course has been conducted.";receive;certificate of attendance;certificate of attendance;student;"student receive certificate of attendance using certificate of attendance in the context of: The business process for conducting a course at a university begins with the students. Students attend the respective course and sign a participant list during the course, which serves as proof of attendance. This participant list is then made available to the lecturer for further processing. The lecturer first checks whether registration is required for the course in question. If registration is not required, this step is skipped and the process continues. If registration is required, the lecturer checks the registration list to determine whether the person in question is properly registered.
If the student is not properly registered, the lecturer denies participation in the course. In this case, the process ends with the result that participation has been denied. If the student is properly registered, the lecturer registers their participation. The lecturer then creates an attendance list documenting the students who are actually present. After this, the lecturer conducts the course as usual.
If coursework is required for the course, students complete this coursework, for example in the form of tests, presentations, or other forms of assessment. This step is not necessary if no coursework is required. The coursework submitted by the student is received and secured by the lecturer to ensure proper documentation and subsequent traceability.
After completing the course, the lecturer creates a certificate of attendance based on attendance and performance data and sends it to the students. The students receive the certificate of attendance. The students then evaluate the course, either on paper or online. The lecturer assesses the results of the evaluation. There is the option of delegating the creation of the questionnaires and the evaluation of the results to a central office at the university. Once the evaluation has been completed, the business process ends with the result that the course has been conducted.";1
"The business process for conducting a course at a university begins with the students. Students attend the respective course and sign a participant list during the course, which serves as proof of attendance. This participant list is then made available to the lecturer for further processing. The lecturer first checks whether registration is required for the course in question. If registration is not required, this step is skipped and the process continues. If registration is required, the lecturer checks the registration list to determine whether the person in question is properly registered.
If the student is not properly registered, the lecturer denies participation in the course. In this case, the process ends with the result that participation has been denied. If the student is properly registered, the lecturer registers their participation. The lecturer then creates an attendance list documenting the students who are actually present. After this, the lecturer conducts the course as usual.
If coursework is required for the course, students complete this coursework, for example in the form of tests, presentations, or other forms of assessment. This step is not necessary if no coursework is required. The coursework submitted by the student is received and secured by the lecturer to ensure proper documentation and subsequent traceability.
After completing the course, the lecturer creates a certificate of attendance based on attendance and performance data and sends it to the students. The students receive the certificate of attendance. The students then evaluate the course, either on paper or online. The lecturer assesses the results of the evaluation. There is the option of delegating the creation of the questionnaires and the evaluation of the results to a central office at the university. Once the evaluation has been completed, the business process ends with the result that the course has been conducted.";evaluate;course;course evaluation;student;"student evaluate course using course evaluation in the context of: The business process for conducting a course at a university begins with the students. Students attend the respective course and sign a participant list during the course, which serves as proof of attendance. This participant list is then made available to the lecturer for further processing. The lecturer first checks whether registration is required for the course in question. If registration is not required, this step is skipped and the process continues. If registration is required, the lecturer checks the registration list to determine whether the person in question is properly registered.
If the student is not properly registered, the lecturer denies participation in the course. In this case, the process ends with the result that participation has been denied. If the student is properly registered, the lecturer registers their participation. The lecturer then creates an attendance list documenting the students who are actually present. After this, the lecturer conducts the course as usual.
If coursework is required for the course, students complete this coursework, for example in the form of tests, presentations, or other forms of assessment. This step is not necessary if no coursework is required. The coursework submitted by the student is received and secured by the lecturer to ensure proper documentation and subsequent traceability.
After completing the course, the lecturer creates a certificate of attendance based on attendance and performance data and sends it to the students. The students receive the certificate of attendance. The students then evaluate the course, either on paper or online. The lecturer assesses the results of the evaluation. There is the option of delegating the creation of the questionnaires and the evaluation of the results to a central office at the university. Once the evaluation has been completed, the business process ends with the result that the course has been conducted.";1
"The business process for conducting a course at a university begins with the students. Students attend the respective course and sign a participant list during the course, which serves as proof of attendance. This participant list is then made available to the lecturer for further processing. The lecturer first checks whether registration is required for the course in question. If registration is not required, this step is skipped and the process continues. If registration is required, the lecturer checks the registration list to determine whether the person in question is properly registered.
If the student is not properly registered, the lecturer denies participation in the course. In this case, the process ends with the result that participation has been denied. If the student is properly registered, the lecturer registers their participation. The lecturer then creates an attendance list documenting the students who are actually present. After this, the lecturer conducts the course as usual.
If coursework is required for the course, students complete this coursework, for example in the form of tests, presentations, or other forms of assessment. This step is not necessary if no coursework is required. The coursework submitted by the student is received and secured by the lecturer to ensure proper documentation and subsequent traceability.
After completing the course, the lecturer creates a certificate of attendance based on attendance and performance data and sends it to the students. The students receive the certificate of attendance. The students then evaluate the course, either on paper or online. The lecturer assesses the results of the evaluation. There is the option of delegating the creation of the questionnaires and the evaluation of the results to a central office at the university. Once the evaluation has been completed, the business process ends with the result that the course has been conducted.";assesses;results;course evaluation;lecturer;"lecturer assesses results using course evaluation in the context of: The business process for conducting a course at a university begins with the students. Students attend the respective course and sign a participant list during the course, which serves as proof of attendance. This participant list is then made available to the lecturer for further processing. The lecturer first checks whether registration is required for the course in question. If registration is not required, this step is skipped and the process continues. If registration is required, the lecturer checks the registration list to determine whether the person in question is properly registered.
If the student is not properly registered, the lecturer denies participation in the course. In this case, the process ends with the result that participation has been denied. If the student is properly registered, the lecturer registers their participation. The lecturer then creates an attendance list documenting the students who are actually present. After this, the lecturer conducts the course as usual.
If coursework is required for the course, students complete this coursework, for example in the form of tests, presentations, or other forms of assessment. This step is not necessary if no coursework is required. The coursework submitted by the student is received and secured by the lecturer to ensure proper documentation and subsequent traceability.
After completing the course, the lecturer creates a certificate of attendance based on attendance and performance data and sends it to the students. The students receive the certificate of attendance. The students then evaluate the course, either on paper or online. The lecturer assesses the results of the evaluation. There is the option of delegating the creation of the questionnaires and the evaluation of the results to a central office at the university. Once the evaluation has been completed, the business process ends with the result that the course has been conducted.";1
"The business process begins in the department or faculty of the university with the decision to establish a new degree program. Based on this decision, the department or faculty prepares a draft of the degree program documents. This draft includes the relevant documents for establishing the degree program and is then submitted to the responsible departmental or faculty committee. The departmental or faculty committee receives the degree program documents and discusses the content of the submitted draft. During this discussion, the committee considers whether the draft can be approved. If it is determined that revisions are necessary, the committee informs the department or faculty accordingly. The department or faculty then makes the necessary improvements to the program documents and revises the proposal. The revised proposal is then resubmitted to the decision-making process.
If the departmental or faculty committee concludes that the proposal can be approved, it decides to forward the application for the establishment of the degree program to the university committee. On this basis, the department or faculty submits the formal application for the establishment of the degree program. The university committee receives the application and discusses it. During the discussion, the university committee decides whether to approve the application. If the application is not approved, the faculty can make necessary improvements and reiterate the process from there. If the application is approved, the university committee initiates the statement on the degree program and the examination regulations and, if necessary, on other statutes.
In the final step of the process, the university management decides on the establishment of the degree program, the examination regulations, and, if necessary, other related statutes based on the statements submitted. With this decision, the establishment of the degree program is formally completed.";prepares;draft of the degree program documents;draft of the degree program documents;faculty;"faculty prepares draft of the degree program documents using draft of the degree program documents in the context of: The business process begins in the department or faculty of the university with the decision to establish a new degree program. Based on this decision, the department or faculty prepares a draft of the degree program documents. This draft includes the relevant documents for establishing the degree program and is then submitted to the responsible departmental or faculty committee. The departmental or faculty committee receives the degree program documents and discusses the content of the submitted draft. During this discussion, the committee considers whether the draft can be approved. If it is determined that revisions are necessary, the committee informs the department or faculty accordingly. The department or faculty then makes the necessary improvements to the program documents and revises the proposal. The revised proposal is then resubmitted to the decision-making process.
If the departmental or faculty committee concludes that the proposal can be approved, it decides to forward the application for the establishment of the degree program to the university committee. On this basis, the department or faculty submits the formal application for the establishment of the degree program. The university committee receives the application and discusses it. During the discussion, the university committee decides whether to approve the application. If the application is not approved, the faculty can make necessary improvements and reiterate the process from there. If the application is approved, the university committee initiates the statement on the degree program and the examination regulations and, if necessary, on other statutes.
In the final step of the process, the university management decides on the establishment of the degree program, the examination regulations, and, if necessary, other related statutes based on the statements submitted. With this decision, the establishment of the degree program is formally completed.";0
"The business process begins in the department or faculty of the university with the decision to establish a new degree program. Based on this decision, the department or faculty prepares a draft of the degree program documents. This draft includes the relevant documents for establishing the degree program and is then submitted to the responsible departmental or faculty committee. The departmental or faculty committee receives the degree program documents and discusses the content of the submitted draft. During this discussion, the committee considers whether the draft can be approved. If it is determined that revisions are necessary, the committee informs the department or faculty accordingly. The department or faculty then makes the necessary improvements to the program documents and revises the proposal. The revised proposal is then resubmitted to the decision-making process.
If the departmental or faculty committee concludes that the proposal can be approved, it decides to forward the application for the establishment of the degree program to the university committee. On this basis, the department or faculty submits the formal application for the establishment of the degree program. The university committee receives the application and discusses it. During the discussion, the university committee decides whether to approve the application. If the application is not approved, the faculty can make necessary improvements and reiterate the process from there. If the application is approved, the university committee initiates the statement on the degree program and the examination regulations and, if necessary, on other statutes.
In the final step of the process, the university management decides on the establishment of the degree program, the examination regulations, and, if necessary, other related statutes based on the statements submitted. With this decision, the establishment of the degree program is formally completed.";submitted;draft of the degree program documents;draft of the degree program documents;faculty;"faculty submitted draft of the degree program documents using draft of the degree program documents in the context of: The business process begins in the department or faculty of the university with the decision to establish a new degree program. Based on this decision, the department or faculty prepares a draft of the degree program documents. This draft includes the relevant documents for establishing the degree program and is then submitted to the responsible departmental or faculty committee. The departmental or faculty committee receives the degree program documents and discusses the content of the submitted draft. During this discussion, the committee considers whether the draft can be approved. If it is determined that revisions are necessary, the committee informs the department or faculty accordingly. The department or faculty then makes the necessary improvements to the program documents and revises the proposal. The revised proposal is then resubmitted to the decision-making process.
If the departmental or faculty committee concludes that the proposal can be approved, it decides to forward the application for the establishment of the degree program to the university committee. On this basis, the department or faculty submits the formal application for the establishment of the degree program. The university committee receives the application and discusses it. During the discussion, the university committee decides whether to approve the application. If the application is not approved, the faculty can make necessary improvements and reiterate the process from there. If the application is approved, the university committee initiates the statement on the degree program and the examination regulations and, if necessary, on other statutes.
In the final step of the process, the university management decides on the establishment of the degree program, the examination regulations, and, if necessary, other related statutes based on the statements submitted. With this decision, the establishment of the degree program is formally completed.";0
"The business process begins in the department or faculty of the university with the decision to establish a new degree program. Based on this decision, the department or faculty prepares a draft of the degree program documents. This draft includes the relevant documents for establishing the degree program and is then submitted to the responsible departmental or faculty committee. The departmental or faculty committee receives the degree program documents and discusses the content of the submitted draft. During this discussion, the committee considers whether the draft can be approved. If it is determined that revisions are necessary, the committee informs the department or faculty accordingly. The department or faculty then makes the necessary improvements to the program documents and revises the proposal. The revised proposal is then resubmitted to the decision-making process.
If the departmental or faculty committee concludes that the proposal can be approved, it decides to forward the application for the establishment of the degree program to the university committee. On this basis, the department or faculty submits the formal application for the establishment of the degree program. The university committee receives the application and discusses it. During the discussion, the university committee decides whether to approve the application. If the application is not approved, the faculty can make necessary improvements and reiterate the process from there. If the application is approved, the university committee initiates the statement on the degree program and the examination regulations and, if necessary, on other statutes.
In the final step of the process, the university management decides on the establishment of the degree program, the examination regulations, and, if necessary, other related statutes based on the statements submitted. With this decision, the establishment of the degree program is formally completed.";receives;draft of the degree program documents;draft of the degree program documents;faculty committee;"faculty committee receives draft of the degree program documents using draft of the degree program documents in the context of: The business process begins in the department or faculty of the university with the decision to establish a new degree program. Based on this decision, the department or faculty prepares a draft of the degree program documents. This draft includes the relevant documents for establishing the degree program and is then submitted to the responsible departmental or faculty committee. The departmental or faculty committee receives the degree program documents and discusses the content of the submitted draft. During this discussion, the committee considers whether the draft can be approved. If it is determined that revisions are necessary, the committee informs the department or faculty accordingly. The department or faculty then makes the necessary improvements to the program documents and revises the proposal. The revised proposal is then resubmitted to the decision-making process.
If the departmental or faculty committee concludes that the proposal can be approved, it decides to forward the application for the establishment of the degree program to the university committee. On this basis, the department or faculty submits the formal application for the establishment of the degree program. The university committee receives the application and discusses it. During the discussion, the university committee decides whether to approve the application. If the application is not approved, the faculty can make necessary improvements and reiterate the process from there. If the application is approved, the university committee initiates the statement on the degree program and the examination regulations and, if necessary, on other statutes.
In the final step of the process, the university management decides on the establishment of the degree program, the examination regulations, and, if necessary, other related statutes based on the statements submitted. With this decision, the establishment of the degree program is formally completed.";0
"The business process begins in the department or faculty of the university with the decision to establish a new degree program. Based on this decision, the department or faculty prepares a draft of the degree program documents. This draft includes the relevant documents for establishing the degree program and is then submitted to the responsible departmental or faculty committee. The departmental or faculty committee receives the degree program documents and discusses the content of the submitted draft. During this discussion, the committee considers whether the draft can be approved. If it is determined that revisions are necessary, the committee informs the department or faculty accordingly. The department or faculty then makes the necessary improvements to the program documents and revises the proposal. The revised proposal is then resubmitted to the decision-making process.
If the departmental or faculty committee concludes that the proposal can be approved, it decides to forward the application for the establishment of the degree program to the university committee. On this basis, the department or faculty submits the formal application for the establishment of the degree program. The university committee receives the application and discusses it. During the discussion, the university committee decides whether to approve the application. If the application is not approved, the faculty can make necessary improvements and reiterate the process from there. If the application is approved, the university committee initiates the statement on the degree program and the examination regulations and, if necessary, on other statutes.
In the final step of the process, the university management decides on the establishment of the degree program, the examination regulations, and, if necessary, other related statutes based on the statements submitted. With this decision, the establishment of the degree program is formally completed.";discusses;content of the submitted draft;draft of the degree program documents;faculty committee;"faculty committee discusses content of the submitted draft using draft of the degree program documents in the context of: The business process begins in the department or faculty of the university with the decision to establish a new degree program. Based on this decision, the department or faculty prepares a draft of the degree program documents. This draft includes the relevant documents for establishing the degree program and is then submitted to the responsible departmental or faculty committee. The departmental or faculty committee receives the degree program documents and discusses the content of the submitted draft. During this discussion, the committee considers whether the draft can be approved. If it is determined that revisions are necessary, the committee informs the department or faculty accordingly. The department or faculty then makes the necessary improvements to the program documents and revises the proposal. The revised proposal is then resubmitted to the decision-making process.
If the departmental or faculty committee concludes that the proposal can be approved, it decides to forward the application for the establishment of the degree program to the university committee. On this basis, the department or faculty submits the formal application for the establishment of the degree program. The university committee receives the application and discusses it. During the discussion, the university committee decides whether to approve the application. If the application is not approved, the faculty can make necessary improvements and reiterate the process from there. If the application is approved, the university committee initiates the statement on the degree program and the examination regulations and, if necessary, on other statutes.
In the final step of the process, the university management decides on the establishment of the degree program, the examination regulations, and, if necessary, other related statutes based on the statements submitted. With this decision, the establishment of the degree program is formally completed.";0
"The business process begins in the department or faculty of the university with the decision to establish a new degree program. Based on this decision, the department or faculty prepares a draft of the degree program documents. This draft includes the relevant documents for establishing the degree program and is then submitted to the responsible departmental or faculty committee. The departmental or faculty committee receives the degree program documents and discusses the content of the submitted draft. During this discussion, the committee considers whether the draft can be approved. If it is determined that revisions are necessary, the committee informs the department or faculty accordingly. The department or faculty then makes the necessary improvements to the program documents and revises the proposal. The revised proposal is then resubmitted to the decision-making process.
If the departmental or faculty committee concludes that the proposal can be approved, it decides to forward the application for the establishment of the degree program to the university committee. On this basis, the department or faculty submits the formal application for the establishment of the degree program. The university committee receives the application and discusses it. During the discussion, the university committee decides whether to approve the application. If the application is not approved, the faculty can make necessary improvements and reiterate the process from there. If the application is approved, the university committee initiates the statement on the degree program and the examination regulations and, if necessary, on other statutes.
In the final step of the process, the university management decides on the establishment of the degree program, the examination regulations, and, if necessary, other related statutes based on the statements submitted. With this decision, the establishment of the degree program is formally completed.";informs;faculty;draft of the degree program documents;faculty committee;"faculty committee informs faculty using draft of the degree program documents in the context of: The business process begins in the department or faculty of the university with the decision to establish a new degree program. Based on this decision, the department or faculty prepares a draft of the degree program documents. This draft includes the relevant documents for establishing the degree program and is then submitted to the responsible departmental or faculty committee. The departmental or faculty committee receives the degree program documents and discusses the content of the submitted draft. During this discussion, the committee considers whether the draft can be approved. If it is determined that revisions are necessary, the committee informs the department or faculty accordingly. The department or faculty then makes the necessary improvements to the program documents and revises the proposal. The revised proposal is then resubmitted to the decision-making process.
If the departmental or faculty committee concludes that the proposal can be approved, it decides to forward the application for the establishment of the degree program to the university committee. On this basis, the department or faculty submits the formal application for the establishment of the degree program. The university committee receives the application and discusses it. During the discussion, the university committee decides whether to approve the application. If the application is not approved, the faculty can make necessary improvements and reiterate the process from there. If the application is approved, the university committee initiates the statement on the degree program and the examination regulations and, if necessary, on other statutes.
In the final step of the process, the university management decides on the establishment of the degree program, the examination regulations, and, if necessary, other related statutes based on the statements submitted. With this decision, the establishment of the degree program is formally completed.";0
"The business process begins in the department or faculty of the university with the decision to establish a new degree program. Based on this decision, the department or faculty prepares a draft of the degree program documents. This draft includes the relevant documents for establishing the degree program and is then submitted to the responsible departmental or faculty committee. The departmental or faculty committee receives the degree program documents and discusses the content of the submitted draft. During this discussion, the committee considers whether the draft can be approved. If it is determined that revisions are necessary, the committee informs the department or faculty accordingly. The department or faculty then makes the necessary improvements to the program documents and revises the proposal. The revised proposal is then resubmitted to the decision-making process.
If the departmental or faculty committee concludes that the proposal can be approved, it decides to forward the application for the establishment of the degree program to the university committee. On this basis, the department or faculty submits the formal application for the establishment of the degree program. The university committee receives the application and discusses it. During the discussion, the university committee decides whether to approve the application. If the application is not approved, the faculty can make necessary improvements and reiterate the process from there. If the application is approved, the university committee initiates the statement on the degree program and the examination regulations and, if necessary, on other statutes.
In the final step of the process, the university management decides on the establishment of the degree program, the examination regulations, and, if necessary, other related statutes based on the statements submitted. With this decision, the establishment of the degree program is formally completed.";makes;necessary improvements;draft of the degree program documents;faculty committee;"faculty committee makes necessary improvements using draft of the degree program documents in the context of: The business process begins in the department or faculty of the university with the decision to establish a new degree program. Based on this decision, the department or faculty prepares a draft of the degree program documents. This draft includes the relevant documents for establishing the degree program and is then submitted to the responsible departmental or faculty committee. The departmental or faculty committee receives the degree program documents and discusses the content of the submitted draft. During this discussion, the committee considers whether the draft can be approved. If it is determined that revisions are necessary, the committee informs the department or faculty accordingly. The department or faculty then makes the necessary improvements to the program documents and revises the proposal. The revised proposal is then resubmitted to the decision-making process.
If the departmental or faculty committee concludes that the proposal can be approved, it decides to forward the application for the establishment of the degree program to the university committee. On this basis, the department or faculty submits the formal application for the establishment of the degree program. The university committee receives the application and discusses it. During the discussion, the university committee decides whether to approve the application. If the application is not approved, the faculty can make necessary improvements and reiterate the process from there. If the application is approved, the university committee initiates the statement on the degree program and the examination regulations and, if necessary, on other statutes.
In the final step of the process, the university management decides on the establishment of the degree program, the examination regulations, and, if necessary, other related statutes based on the statements submitted. With this decision, the establishment of the degree program is formally completed.";0
"The business process begins in the department or faculty of the university with the decision to establish a new degree program. Based on this decision, the department or faculty prepares a draft of the degree program documents. This draft includes the relevant documents for establishing the degree program and is then submitted to the responsible departmental or faculty committee. The departmental or faculty committee receives the degree program documents and discusses the content of the submitted draft. During this discussion, the committee considers whether the draft can be approved. If it is determined that revisions are necessary, the committee informs the department or faculty accordingly. The department or faculty then makes the necessary improvements to the program documents and revises the proposal. The revised proposal is then resubmitted to the decision-making process.
If the departmental or faculty committee concludes that the proposal can be approved, it decides to forward the application for the establishment of the degree program to the university committee. On this basis, the department or faculty submits the formal application for the establishment of the degree program. The university committee receives the application and discusses it. During the discussion, the university committee decides whether to approve the application. If the application is not approved, the faculty can make necessary improvements and reiterate the process from there. If the application is approved, the university committee initiates the statement on the degree program and the examination regulations and, if necessary, on other statutes.
In the final step of the process, the university management decides on the establishment of the degree program, the examination regulations, and, if necessary, other related statutes based on the statements submitted. With this decision, the establishment of the degree program is formally completed.";decides;to forward the application to the university committee;draft of the degree program documents;faculty committee;"faculty committee decides to forward the application to the university committee using draft of the degree program documents in the context of: The business process begins in the department or faculty of the university with the decision to establish a new degree program. Based on this decision, the department or faculty prepares a draft of the degree program documents. This draft includes the relevant documents for establishing the degree program and is then submitted to the responsible departmental or faculty committee. The departmental or faculty committee receives the degree program documents and discusses the content of the submitted draft. During this discussion, the committee considers whether the draft can be approved. If it is determined that revisions are necessary, the committee informs the department or faculty accordingly. The department or faculty then makes the necessary improvements to the program documents and revises the proposal. The revised proposal is then resubmitted to the decision-making process.
If the departmental or faculty committee concludes that the proposal can be approved, it decides to forward the application for the establishment of the degree program to the university committee. On this basis, the department or faculty submits the formal application for the establishment of the degree program. The university committee receives the application and discusses it. During the discussion, the university committee decides whether to approve the application. If the application is not approved, the faculty can make necessary improvements and reiterate the process from there. If the application is approved, the university committee initiates the statement on the degree program and the examination regulations and, if necessary, on other statutes.
In the final step of the process, the university management decides on the establishment of the degree program, the examination regulations, and, if necessary, other related statutes based on the statements submitted. With this decision, the establishment of the degree program is formally completed.";0
